ID,Tipo,SKU,Nombre,Publicado(0/1),¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario ,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla,Nombre del atributo 2,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
18002S,variation,,PANTALÓN CARGO MILITAR - S,1,,visible,,,taxable,parent,1,7,,,,,70000,95000,SHORT Y PANTALON,,,18002C/ 18002FP/ 18002P,,Talla,S,,,,color,VERDE MILITAR,,,
18002M,variation,,PANTALÓN CARGO MILITAR - M,1,,visible,,,taxable,parent,0,0,,,,,70000,95000,SHORT Y PANTALON,,,18002C/ 18002FP/ 18002P,,Talla,M,,,,color,VERDE MILITAR,,,
18002L,variation,,PANTALÓN CARGO MILITAR - L,1,,visible,,,taxable,parent,0,0,,,,,70000,95000,SHORT Y PANTALON,,,18002C/ 18002FP/ 18002P,,Talla,L,,,,color,VERDE MILITAR,,,
12006,variable,,CROP SULBIMADO CUELLO ALTO,1,,visible,,"Crop en lycra (100% poli.) cuello alto, sublimado en su totalidad.",taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,12006F/ 12006C/ 12006FP,,Talla,"S,M,L",1,,M,color,VERDE,1,,
12006S,variation,,CROP SULBIMADO CUELLO ALTO - S,1,,visible,,,taxable,parent,1,6,,,,,,55000,TOPS Y CAMISETAS,,,12006F/ 12006C/ 12006FP,,Talla,S,,,,color,VERDE,,,
12006M,variation,,CROP SULBIMADO CUELLO ALTO - M,1,,visible,,,taxable,parent,1,4,,,,,,55000,TOPS Y CAMISETAS,,,12006F/ 12006C/ 12006FP,,Talla,M,,,,color,VERDE,,,
12006L,variation,,CROP SULBIMADO CUELLO ALTO - L,1,,visible,,,taxable,parent,1,4,,,,,,55000,TOPS Y CAMISETAS,,,12006F/ 12006C/ 12006FP,,Talla,L,,,,color,VERDE,,,
17003,variable,,OVEROL EN DRILL STRECH CON BOLSILLOS EN COSTADOS,1,,visible,,"Overol en dril strech (59%alg. 37%pol. 4%spa.) con bolsilos en costado y tapa en frente, cordon de ajuste y cinturo y botas en tejido.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,17003F/ 17003C,,Talla,"S,M,L",1,,M,color,NEGRO,1,,
17003S,variation,,OVEROL EN DRILL STRECH CON BOLSILLOS EN COSTADOS -S,1,,visible,,,taxable,parent,1,1,,,,,90000,120000,SHORT Y PANTALON,,,17003F/ 17003C,,Talla,S,,,,color,NEGRO,,,
17003M,variation,,OVEROL EN DRILL STRECH CON BOLSILLOS EN COSTADOS - M,1,,visible,,,taxable,parent,0,0,,,,,90000,120000,SHORT Y PANTALON,,,17003F/ 17003C,,Talla,M,,,,color,NEGRO,,,
17003L,variation,,OVEROL EN DRILL STRECH CON BOLSILLOS EN COSTADOS - L,1,,visible,,,taxable,parent,0,0,,,,,90000,120000,SHORT Y PANTALON,,,17003F/ 17003C,,Talla,L,,,,color,NEGRO,,,
18003,variable,,PANTALÓN TIPO BAGGY,1,,visible,,"Pantalón tipo baggy en drill strech (59%alg. 37%pol. 4%spa.) con pliegues en delantero, correa ajustable en botas y correa en cotilla en el posterior",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,18003D/ 18003C/ 18003P/ 18003DV/ 18003CV/ 18003FPC/ 18003FPV,,Talla,"S,M,L",1,,M,color,"VERDE, CAQUI",1,,
18003SC,variation,,PANTALÓN TIPO BAGGY CAQUI - S,1,,visible,,,taxable,parent,1,2,,,,,,85000,SHORT Y PANTALON,,,18003D/ 18003C/ 18003P/ 18003DV/ 18003CV/ 18003FPC/ 18003FPV,,Talla,S,,,,color,CAQUI,,,
18003MC,variation,,PANTALÓN TIPO BAGGY CAQUI - M,1,,visible,,,taxable,parent,1,1,,,,,,85000,SHORT Y PANTALON,,,18003D/ 18003C/ 18003P/ 18003DV/ 18003CV/ 18003FPC/ 18003FPV,,Talla,M,,,,color,CAQUI,,,
18003LC,variation,,PANTALÓN TIPO BAGGY CAQUI - L,1,,visible,,,taxable,parent,1,4,,,,,,85000,SHORT Y PANTALON,,,18003D/ 18003C/ 18003P/ 18003DV/ 18003CV/ 18003FPC/ 18003FPV,,Talla,L,,,,color,CAQUI,,,
18003SV,variation,,PANTALÓN TIPO BAGGY VERDE - S,1,,visible,,,taxable,parent,1,2,,,,,,85000,SHORT Y PANTALON,,,18003D/ 18003C/ 18003P/ 18003DV/ 18003CV/ 18003FPC/ 18003FPV,,Talla,S,,,,color,VERDE,,,
18003MV,variation,,PANTALÓN TIPO BAGGY VERDE - M,1,,visible,,,taxable,parent,1,3,,,,,,85000,SHORT Y PANTALON,,,18003D/ 18003C/ 18003P/ 18003DV/ 18003CV/ 18003FPC/ 18003FPV,,Talla,M,,,,color,VERDE,,,
18003LV,variation,,PANTALÓN TIPO BAGGY VERDE - L,1,,visible,,,taxable,parent,1,3,,,,,,85000,SHORT Y PANTALON,,,18003D/ 18003C/ 18003P/ 18003DV/ 18003CV/ 18003FPC/ 18003FPV,,Talla,L,,,,color,VERDE,,,
11016,variable,,CROP MANGA AMPLIA,1,,visible,,"Crop con sublicado en frente y manga, contraste de color en cuello",taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11016F/ 11016E/ 11016FP,,Talla,"S,M,L",1,,M,color,ROSA,1,,
11016S,variation,,CROP MANGA AMPLIA - S,1,,visible,,,taxable,parent,1,3,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,S,,,,color,ROSA,,,
11016M,variation,,CROP MANGA AMPLIA - M,1,,visible,,,taxable,parent,1,5,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,M,,,,color,ROSA,,,
11016L,variation,,CROP MANGA AMPLIA - L,1,,visible,,,taxable,parent,1,6,,,,,,50000,TOPS Y CAMISETAS,,,,,Talla,L,,,,color,ROSA,,,
16010,variable,,SUDADERA ROSA RECOGIDO EN BOTAS,1,,visible,,"Sudadera en antifluido con recogido en ambas botas y elástico ajustable en ellas, bolsillo en costados y bolsillos en posterior con reata reflectiva, elástico en cintura y cordón de ajuste.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,16010D/ 16010P/ 16010FPO/ 16010PFPM,,Talla,"S,M,L",1,,M,color,ROSA,1,,
16010S,variation,,SUDADERA ROSA RECOGIDO EN BOTAS - S,1,,visible,,,taxable,parent,1,2,,,,,,850000,SHORT Y PANTALON,,,,,Talla,S,,,,color,ROSA,,,
16010M,variation,,SUDADERA ROSA RECOGIDO EN BOTAS - M,1,,visible,,,taxable,parent,1,3,,,,,,850000,SHORT Y PANTALON,,,,,Talla,M,,,,color,ROSA,,,
